date,week,dow,status,total,in,out,101057388,102057388,103057388,104057388
2020-09-17,38,4,,1128,515,613,116,558,399,55
2020-09-18,38,5,,1228,668,560,49,517,619,43
2020-09-19,38,6,1,541,287,254,27,215,260,39
2020-09-20,38,7,1,462,264,198,39,173,225,25
2020-09-21,39,1,,1201,623,578,34,531,589,47
2020-09-22,39,2,,1209,623,586,41,551,582,35
2020-09-23,39,3,,1211,635,576,31,533,604,43
2020-09-24,39,4,,1024,539,485,27,447,512,38
2020-09-25,39,5,,811,429,382,41,358,388,24
2020-09-26,39,6,1,298,170,128,19,114,151,14
2020-09-27,39,7,1,254,151,103,32,96,119,7
2020-09-28,40,1,,1025,544,481,25,445,519,36
2020-09-29,40,2,,1216,649,567,18,534,631,33
2020-09-30,40,3,,1199,627,572,26,532,601,40
2020-10-01,40,4,,1192,660,532,21,504,639,28
2020-10-02,40,5,,732,412,320,61,295,351,25
2020-10-03,40,6,1,460,253,207,29,174,224,33
2020-10-04,40,7,1,302,173,129,23,110,150,19
2020-10-05,41,1,,1124,581,543,43,513,538,30
2020-10-06,41,2,,1007,529,478,38,456,491,22
2020-10-07,41,3,,1189,624,565,27,514,597,51
2020-10-08,41,4,,1277,660,617,32,589,628,28
2020-10-09,41,5,,1155,614,541,43,510,571,31
2020-10-10,41,6,1,339,187,152,31,122,156,30
2020-10-11,41,7,1,333,191,142,19,126,172,16
2020-10-12,42,1,,1203,635,568,21,531,614,37
2020-10-13,42,2,,1204,611,593,29,548,582,45
2020-10-14,42,3,,1081,576,505,30,472,546,33
2020-10-15,42,4,,1021,534,487,24,460,510,27
2020-10-16,42,5,,908,487,421,31,393,456,28
2020-10-17,42,6,5,389,207,182,25,166,182,16
2020-10-18,42,7,5,360,206,154,19,131,187,23
2020-10-19,43,1,4,1021,501,520,30,468,471,52
2020-10-20,43,2,4,1081,543,538,26,490,517,48
2020-10-21,43,3,4,972,514,458,31,421,483,37
2020-10-22,43,4,4,1013,552,461,24,435,528,26
2020-10-23,43,5,4,593,351,242,55,226,296,16
2020-10-24,43,6,5,428,226,202,29,174,197,28
2020-10-25,43,7,5,387,220,167,27,141,193,26
2020-10-26,44,1,4,595,301,294,51,262,250,32
2020-10-27,44,2,4,932,483,449,35,399,448,50
2020-10-28,44,3,4,795,412,383,25,356,387,27
2020-10-29,44,4,4,928,490,438,21,393,469,45
2020-10-30,44,5,36,493,271,222,12,214,259,8
2020-10-31,44,6,5,324,178,146,15,117,163,29
2020-11-01,44,7,39,324,184,140,20,113,164,27
2020-11-02,45,1,32,751,396,355,30,319,366,36
2020-11-03,45,2,32,611,314,297,18,267,296,30
2020-11-04,45,3,32,647,345,302,22,271,323,31
2020-11-05,45,4,32,733,396,337,24,310,372,27
2020-11-06,45,5,32,753,402,351,15,327,387,24
2020-11-07,45,6,33,416,239,177,24,156,215,21
2020-11-08,45,7,33,294,170,124,13,109,157,15
2020-11-09,46,1,32,743,401,342,13,316,388,26
2020-11-10,46,2,32,790,418,372,17,331,401,41
2020-11-11,46,3,34,417,227,190,22,154,205,36
2020-11-12,46,4,32,707,383,324,20,310,363,14
2020-11-13,46,5,32,701,367,334,14,305,353,29
