date,week,dow,status,total,in,out,101057814,102057814,103057814,104057814
2020-05-15,20,5,,291,157,134,58,44,99,90
2020-05-16,20,6,1,873,439,434,214,189,225,245
2020-05-17,20,7,1,863,443,420,239,214,204,206
2020-05-18,21,1,,1090,526,564,225,243,301,321
2020-05-19,21,2,,1186,579,607,250,276,329,331
2020-05-20,21,3,4,1251,608,643,260,280,348,363
2020-05-21,21,4,6,852,435,417,203,183,232,234
2020-05-22,21,5,4,966,468,498,223,209,245,289
2020-05-23,21,6,5,443,231,212,106,95,125,117
2020-05-24,21,7,5,921,441,480,230,230,211,250
2020-05-25,22,1,,1243,611,632,265,305,346,327
2020-05-26,22,2,,1395,693,702,312,318,381,384
2020-05-27,22,3,,1420,712,708,294,333,418,375
2020-05-28,22,4,,1423,697,726,284,310,413,416
2020-05-29,22,5,,0,0,0,0,0,0,0
2020-05-30,22,6,1,1029,525,504,214,228,311,276
2020-05-31,22,7,1,881,447,434,225,221,222,213
2020-06-01,23,1,2,924,451,473,223,225,228,248
2020-06-02,23,2,,1417,709,708,310,314,399,394
2020-06-03,23,3,,1083,517,566,202,226,315,340
2020-06-04,23,4,,738,348,390,136,148,212,242
2020-06-05,23,5,,947,474,473,189,181,285,292
2020-06-06,23,6,1,1073,575,498,249,231,326,267
2020-06-07,23,7,1,377,192,185,70,84,122,101
2020-06-08,24,1,,0,0,0,0,0,0,0
2020-06-09,24,2,,802,397,405,142,150,255,255
2020-06-10,24,3,,821,405,416,133,151,272,265
2020-06-11,24,4,,1337,658,679,261,289,397,390
2020-06-12,24,5,,1374,669,705,232,284,437,421
2020-06-13,24,6,1,0,0,0,0,0,0,0
2020-06-14,24,7,1,763,352,411,168,208,184,203
2020-06-15,25,1,,1563,774,789,304,348,470,441
2020-06-16,25,2,,1836,849,987,349,448,500,539
2020-06-17,25,3,,1671,828,843,333,345,495,498
2020-06-18,25,4,,0,0,0,0,0,0,0
2020-06-19,25,5,,1623,769,854,320,356,449,498
2020-06-20,25,6,1,1140,546,594,252,299,294,295
2020-06-21,25,7,1,934,471,463,203,214,268,249
2020-06-22,26,1,,1776,839,937,349,420,490,517
2020-06-23,26,2,,1968,954,1014,384,437,570,577
2020-06-24,26,3,,1955,930,1025,354,412,576,613
2020-06-25,26,4,,1963,932,1031,343,420,589,611
2020-06-26,26,5,,1728,823,905,324,372,499,533
2020-06-27,26,6,1,1003,461,542,181,231,280,311
2020-06-28,26,7,1,875,436,439,192,197,244,242
2020-06-29,27,1,,1852,867,985,362,416,505,569
2020-06-30,27,2,,2120,984,1136,385,468,599,668
2020-07-01,27,3,,1760,829,931,319,373,510,558
2020-07-02,27,4,,1950,936,1014,371,404,565,610
2020-07-03,27,5,,1693,825,868,309,340,516,528
2020-07-04,27,6,5,1017,507,510,212,219,295,291
2020-07-05,27,7,5,818,388,430,163,191,225,239
2020-07-06,28,1,4,1910,932,978,362,388,570,590
2020-07-07,28,2,4,2261,1052,1209,399,507,653,702
2020-07-08,28,3,4,2136,1017,1119,395,437,622,682
2020-07-09,28,4,4,2141,1031,1110,375,446,656,664
2020-07-10,28,5,4,1558,759,799,259,275,500,524
2020-07-11,28,6,5,755,376,379,158,163,218,216
2020-07-12,28,7,5,642,320,322,154,149,166,173
2020-07-13,29,1,4,1051,530,521,209,212,321,309
2020-07-14,29,2,6,811,362,449,181,212,181,237
2020-07-15,29,3,4,1729,826,903,314,342,512,561
2020-07-16,29,4,4,1792,877,915,310,373,567,542
2020-07-17,29,5,4,1609,770,839,307,326,463,513
2020-07-18,29,6,5,903,440,463,184,212,256,251
2020-07-19,29,7,5,797,386,411,182,186,204,225
2020-07-20,30,1,4,1853,912,941,327,388,585,553
2020-07-21,30,2,4,1905,941,964,334,385,607,579
2020-07-22,30,3,4,1502,708,794,285,329,423,465
2020-07-23,30,4,4,1853,896,957,346,394,550,563
2020-07-24,30,5,4,1461,707,754,262,304,445,450
2020-07-25,30,6,5,792,382,410,180,195,202,215
2020-07-26,30,7,5,604,305,299,135,132,170,167
2020-07-27,31,1,4,1555,755,800,292,344,463,456
2020-07-28,31,2,4,1424,690,734,266,316,424,418
2020-07-29,31,3,4,1549,751,798,311,366,440,432
2020-07-30,31,4,4,1441,689,752,285,315,404,437
2020-07-31,31,5,4,1140,566,574,225,256,341,318
2020-08-01,31,6,5,564,282,282,90,104,192,178
2020-08-02,31,7,5,575,286,289,113,122,173,167
2020-08-03,32,1,4,927,435,492,181,221,254,271
2020-08-04,32,2,4,1259,632,627,268,300,364,327
2020-08-05,32,3,4,1357,639,718,262,330,377,388
2020-08-06,32,4,4,1250,593,657,242,275,351,382
2020-08-07,32,5,4,1065,513,552,210,244,303,308
2020-08-08,32,6,5,700,324,376,139,164,185,212
2020-08-09,32,7,5,451,225,226,84,100,141,126
2020-08-10,33,1,4,1010,475,535,199,232,276,303
2020-08-11,33,2,4,1160,549,611,207,245,342,366
2020-08-12,33,3,4,1179,575,604,231,288,344,316
2020-08-13,33,4,4,880,414,466,161,219,253,247
2020-08-14,33,5,4,1018,507,511,226,255,281,256
2020-08-15,33,6,7,633,308,325,130,125,178,200
2020-08-16,33,7,5,467,222,245,103,122,119,123
2020-08-17,34,1,4,1303,624,679,241,263,383,416
2020-08-18,34,2,4,1507,730,777,295,341,435,436
2020-08-19,34,3,4,1463,716,747,296,319,420,428
2020-08-20,34,4,4,1424,695,729,268,305,427,424
2020-08-21,34,5,4,1136,535,601,212,253,323,348
2020-08-22,34,6,5,736,352,384,157,166,195,218
2020-08-23,34,7,5,712,329,383,154,166,175,217
2020-08-24,35,1,4,1770,844,926,338,360,506,566
2020-08-25,35,2,4,2050,1006,1044,380,447,626,597
2020-08-26,35,3,4,2025,992,1033,372,409,620,624
2020-08-27,35,4,4,2155,1058,1097,414,458,644,639
2020-08-28,35,5,4,1246,575,671,195,265,380,406
2020-08-29,35,6,5,275,133,142,43,55,90,87
2020-08-30,35,7,5,591,280,311,137,126,143,185
2020-08-31,36,1,4,2039,1002,1037,336,383,666,654
2020-09-01,36,2,,2542,1238,1304,424,482,814,822
2020-09-02,36,3,,2582,1261,1321,444,544,817,777
2020-09-03,36,4,,2826,1373,1453,476,523,897,930
2020-09-04,36,5,,2466,1207,1259,426,496,781,763
2020-09-05,36,6,1,1205,571,634,257,288,314,346
2020-09-06,36,7,1,967,472,495,205,219,267,276
2020-09-07,37,1,,2668,1318,1350,411,496,907,854
2020-09-08,37,2,,3110,1547,1563,496,586,1051,977
2020-09-09,37,3,,2855,1375,1480,454,543,921,937
2020-09-10,37,4,,2929,1437,1492,429,525,1008,967
2020-09-11,37,5,,2544,1249,1295,385,449,864,846
2020-09-12,37,6,1,1295,624,671,271,298,353,373
2020-09-13,37,7,1,1073,558,515,242,246,316,269
2020-09-14,38,1,,3173,1581,1592,465,513,1116,1079
2020-09-15,38,2,,3549,1758,1791,564,615,1194,1176
2020-09-16,38,3,,3938,1843,2095,616,720,1227,1375
2020-09-17,38,4,,3382,1650,1732,480,586,1170,1146
2020-09-18,38,5,,2989,1460,1529,450,513,1010,1016
2020-09-19,38,6,1,1241,606,635,261,259,345,376
2020-09-20,38,7,1,929,454,475,197,205,257,270
2020-09-21,39,1,,2724,1320,1404,374,442,946,962
2020-09-22,39,2,,2842,1394,1448,390,449,1004,999
2020-09-23,39,3,,3131,1493,1638,422,488,1071,1150
2020-09-24,39,4,,2619,1297,1322,330,378,967,944
2020-09-25,39,5,,1721,825,896,192,242,633,654
2020-09-26,39,6,1,569,282,287,96,83,186,204
2020-09-27,39,7,1,415,194,221,55,84,139,137
2020-09-28,40,1,,2399,1194,1205,318,360,876,845
2020-09-29,40,2,,2978,1461,1517,395,474,1066,1043
2020-09-30,40,3,,3260,1626,1634,439,498,1187,1136
2020-10-01,40,4,,2735,1366,1369,362,398,1004,971
2020-10-02,40,5,,1580,775,805,185,236,590,569
2020-10-03,40,6,1,1033,511,522,190,199,321,323
2020-10-04,40,7,1,598,295,303,111,113,184,190
2020-10-05,41,1,,2536,1238,1298,321,354,917,944
2020-10-06,41,2,,2175,1059,1116,250,300,809,816
2020-10-07,41,3,,2935,1447,1488,380,404,1067,1084
2020-10-08,41,4,,3282,1578,1704,446,523,1132,1181
2020-10-09,41,5,,2839,1405,1434,426,477,979,957
2020-10-10,41,6,1,819,400,419,135,155,265,264
2020-10-11,41,7,1,700,363,337,148,128,215,209
2020-10-12,42,1,,2722,1343,1379,372,423,971,956
2020-10-13,42,2,,2926,1436,1490,413,486,1023,1004
2020-10-14,42,3,,2715,1321,1394,351,403,970,991
2020-10-15,42,4,,2461,1235,1226,289,341,946,885
2020-10-16,42,5,,2175,1047,1128,255,312,792,816
2020-10-17,42,6,5,989,492,497,172,196,320,301
2020-10-18,42,7,5,864,402,462,152,189,250,273
2020-10-19,43,1,4,2729,1330,1399,372,403,958,996
2020-10-20,43,2,4,2659,1292,1367,335,389,957,978
2020-10-21,43,3,4,2749,1351,1398,334,394,1017,1004
2020-10-22,43,4,4,2369,1170,1199,285,315,885,884
2020-10-23,43,5,4,1436,690,746,160,191,530,555
2020-10-24,43,6,5,962,483,479,208,215,275,264
2020-10-25,43,7,5,756,370,386,167,165,203,221
2020-10-26,44,1,4,927,449,478,138,148,311,330
2020-10-27,44,2,4,1567,751,816,255,294,496,522
2020-10-28,44,3,4,1492,710,782,244,281,466,501
2020-10-29,44,4,4,1744,858,886,310,320,548,566
2020-10-30,44,5,36,875,418,457,159,175,259,282
2020-10-31,44,6,5,430,195,235,91,96,104,139
2020-11-01,44,7,39,313,137,176,52,70,85,106
2020-11-02,45,1,32,1259,593,666,250,311,343,355
2020-11-03,45,2,32,1040,504,536,193,222,311,314
2020-11-04,45,3,32,1068,501,567,196,242,305,325
2020-11-05,45,4,32,1151,548,603,216,264,332,339
2020-11-06,45,5,32,1150,562,588,250,265,312,323
2020-11-07,45,6,33,616,295,321,143,137,152,184
2020-11-08,45,7,33,405,200,205,88,90,112,115
2020-11-09,46,1,32,1356,635,721,264,315,371,406
2020-11-10,46,2,32,1495,711,784,283,321,428,463
2020-11-11,46,3,34,670,333,337,140,155,193,182
2020-11-12,46,4,32,1468,718,750,286,332,432,418
2020-11-13,46,5,32,1348,656,692,247,304,409,388
2020-11-14,46,6,33,850,393,457,154,179,239,278
2020-11-15,46,7,33,529,253,276,114,117,139,159
2020-11-16,47,1,32,1179,562,617,203,243,359,374
2020-11-17,47,2,32,1461,710,751,280,307,430,444
2020-11-18,47,3,32,1412,697,715,282,308,415,407
2020-11-19,47,4,32,1161,575,586,186,215,389,371
2020-11-20,47,5,32,1216,581,635,218,269,363,366
2020-11-21,47,6,33,869,429,440,178,191,251,249
2020-11-22,47,7,33,550,263,287,125,138,138,149
2020-11-23,48,1,32,1331,645,686,231,270,414,416
2020-11-24,48,2,32,1397,687,710,258,279,429,431
2020-11-25,48,3,32,1231,609,622,237,263,372,359
2020-11-26,48,4,32,1372,653,719,219,276,434,443
2020-11-27,48,5,32,1350,645,705,239,286,406,419
2020-11-28,48,6,33,1124,558,566,230,265,328,301
2020-11-29,48,7,33,535,254,281,99,104,155,177
2020-11-30,49,1,32,1245,601,644,198,255,403,389
2020-12-01,49,2,32,1034,505,529,167,192,338,337
2020-12-02,49,3,32,1189,573,616,197,235,376,381
2020-12-03,49,4,32,1397,677,720,242,257,435,463
2020-12-04,49,5,32,736,353,383,93,126,260,257
2020-12-05,49,6,33,376,180,196,58,54,122,142
2020-12-06,49,7,33,340,157,183,49,55,108,128
2020-12-07,50,1,32,1154,562,592,164,215,398,377
2020-12-08,50,2,32,1322,651,671,213,242,438,429
2020-12-09,50,3,32,1020,499,521,173,205,326,316
2020-12-10,50,4,32,1351,663,688,211,245,452,443
2020-12-11,50,5,32,1053,519,534,151,179,368,355
2020-12-12,50,6,33,299,134,165,40,56,94,109
2020-12-13,50,7,33,553,257,296,104,129,153,167
2020-12-14,51,1,32,1432,706,726,241,283,465,443
2020-12-15,51,2,32,1336,649,687,214,245,435,442
2020-12-16,51,3,,1478,715,763,240,292,475,471
2020-12-17,51,4,,1409,685,724,229,270,456,454
2020-12-18,51,5,,1404,678,726,211,270,467,456
2020-12-19,51,6,5,734,358,376,136,155,222,221
2020-12-20,51,7,5,262,135,127,53,54,82,73
2020-12-21,52,1,4,702,342,360,128,153,214,207
2020-12-22,52,2,4,919,448,471,184,212,264,259
2020-12-23,52,3,4,758,366,392,164,172,202,220
2020-12-24,52,4,4,440,199,241,91,105,108,136
2020-12-25,52,5,6,91,39,52,23,25,16,27
2020-12-26,52,6,5,287,139,148,47,52,92,96
2020-12-27,52,7,5,233,108,125,38,52,70,73
2020-12-28,53,1,4,535,238,297,99,138,139,159
2020-12-29,53,2,,618,302,316,118,131,184,185
2020-12-30,53,3,,479,219,260,95,100,124,160
2020-12-31,53,4,,352,171,181,63,70,108,111
2021-01-01,53,5,,144,66,78,27,41,39,37
2021-01-02,53,6,,318,150,168,62,74,88,94
2021-01-03,53,7,,255,123,132,34,41,89,91
2021-01-04,1,1,,1245,617,628,218,239,399,389
