date,week,dow,status,total,in,out,101051044,102051044,103051044,104051044
2019-08-15,33,4,,320,162,158,22,127,140,31
2019-08-16,33,5,,387,184,203,22,174,162,29
2019-08-17,33,6,,387,189,198,20,169,169,29
2019-08-18,33,7,,204,94,110,11,95,83,15
2019-08-19,34,1,,398,194,204,14,180,180,24
2019-08-20,34,2,,101,47,54,1,44,46,10
2019-08-21,34,3,,382,179,203,16,170,163,33
2019-08-22,34,4,,483,236,247,18,212,218,35
2019-08-23,34,5,,469,224,245,20,218,204,27
2019-08-24,34,6,,507,238,269,25,220,213,49
2019-08-25,34,7,,225,104,121,17,93,87,28
2019-08-26,35,1,,553,266,287,25,247,241,40
2019-08-27,35,2,,569,279,290,18,256,261,34
2019-08-28,35,3,,448,199,249,18,210,181,39
2019-08-29,35,4,,575,275,300,15,259,260,41
2019-08-30,35,5,,558,263,295,18,265,245,30
2019-08-31,35,6,,485,242,243,25,197,217,46
2019-09-01,35,7,,264,126,138,13,118,113,20
2019-09-02,36,1,,376,176,200,7,183,169,17
2019-09-03,36,2,,482,245,237,15,216,230,21
2019-09-04,36,3,,535,266,269,20,230,246,39
2019-09-05,36,4,,320,164,156,8,144,156,12
2019-09-06,36,5,,313,147,166,14,151,133,15
2019-09-07,36,6,,484,223,261,24,217,199,44
2019-09-08,36,7,,106,49,57,6,38,43,19
2019-09-09,37,1,,363,173,190,15,176,158,14
2019-09-10,37,2,,288,139,149,8,137,131,12
2019-09-11,37,3,,457,229,228,12,209,217,19
2019-09-12,37,4,,400,185,215,11,196,174,19
2019-09-13,37,5,,430,209,221,11,194,198,27
2019-09-14,37,6,,465,240,225,20,191,220,34
2019-09-15,37,7,,255,127,128,20,95,107,33
2019-09-16,38,1,,441,217,224,9,205,208,19
2019-09-17,38,2,,486,234,252,11,228,223,24
2019-09-18,38,3,,443,211,232,12,209,199,23
2019-09-19,38,4,,476,231,245,16,221,215,24
2019-09-20,38,5,,447,212,235,19,206,193,29
2019-09-21,38,6,,501,249,252,22,207,227,45
2019-09-22,38,7,,157,64,93,10,69,54,24
2019-09-23,39,1,,440,223,217,17,193,206,24
2019-09-24,39,2,,268,132,136,9,126,123,10
2019-09-25,39,3,,331,165,166,7,146,158,20
2019-09-26,39,4,,358,173,185,13,158,160,27
2019-09-27,39,5,,451,223,228,11,201,212,27
2019-09-28,39,6,,472,229,243,22,208,207,35
2019-09-29,39,7,,282,137,145,19,112,118,33
2019-09-30,40,1,,410,204,206,8,190,196,16
2019-10-01,40,2,,424,204,220,9,199,195,21
2019-10-02,40,3,,184,96,88,5,80,91,8
2019-10-03,40,4,,353,168,185,5,169,163,16
2019-10-04,40,5,,376,187,189,13,173,174,16
2019-10-05,40,6,,339,184,155,15,126,169,29
2019-10-06,40,7,,222,116,106,20,79,96,27
2019-10-07,41,1,,309,156,153,5,146,151,7
2019-10-08,41,2,,430,206,224,15,211,191,13
2019-10-09,41,3,,193,96,97,7,83,89,14
2019-10-10,41,4,,388,183,205,12,188,171,17
2019-10-11,41,5,,389,198,191,15,177,183,14
2019-10-12,41,6,,404,196,208,19,175,177,33
2019-10-13,41,7,,254,113,141,16,106,97,35
2019-10-14,42,1,,484,242,242,19,211,223,31
2019-10-15,42,2,,129,66,63,3,54,63,9
2019-10-16,42,3,,417,206,211,13,190,193,21
2019-10-17,42,4,,374,180,194,10,181,170,13
2019-10-18,42,5,,272,133,139,7,123,126,16
2019-10-19,42,6,,269,134,135,14,116,120,19
2019-10-20,42,7,,122,71,51,6,42,65,9
2019-10-21,43,1,,137,69,68,4,59,65,9
2019-10-22,43,2,,288,146,142,8,124,138,18
2019-10-23,43,3,,319,158,161,6,144,152,17
2019-10-24,43,4,,320,155,165,32,142,123,23
2019-10-25,43,5,,360,184,176,18,160,166,16
2019-10-26,43,6,,493,242,251,32,199,210,52
2019-10-27,43,7,,267,130,137,28,102,102,35
2019-10-28,44,1,,315,161,154,14,137,147,17
2019-10-29,44,2,,319,157,162,6,140,151,22
2019-10-30,44,3,,392,192,200,17,172,175,28
2019-10-31,44,4,,131,62,69,6,55,56,14
2019-11-01,44,5,,215,101,114,12,85,89,29
2019-11-02,44,6,,152,75,77,5,58,70,19
2019-11-03,44,7,,36,19,17,0,9,19,8
2019-11-04,45,1,,148,72,76,1,61,71,15
2019-11-05,45,2,,292,142,150,10,132,132,18
2019-11-06,45,3,,187,94,93,3,75,91,18
2019-11-07,45,4,,155,73,82,35,65,38,17
2019-11-08,45,5,,289,138,151,60,137,78,14
2019-11-09,45,6,,301,153,148,18,117,135,31
2019-11-10,45,7,,86,36,50,6,34,30,16
2019-11-11,46,1,,233,121,112,18,79,103,33
2019-11-12,46,2,,330,159,171,16,148,143,23
2019-11-13,46,3,,322,162,160,11,149,151,11
2019-11-14,46,4,,175,84,91,2,81,82,10
2019-11-15,46,5,,192,93,99,5,83,88,16
2019-11-16,46,6,,321,164,157,23,134,141,23
2019-11-17,46,7,,43,18,25,3,21,15,4
2019-11-18,47,1,,280,136,144,13,133,123,11
2019-11-19,47,2,,275,136,139,5,126,131,13
2019-11-20,47,3,,339,160,179,8,157,152,22
2019-11-21,47,4,,267,130,137,9,121,121,16
2019-11-22,47,5,,273,134,139,12,126,122,13
2019-11-23,47,6,,172,84,88,6,69,78,19
2019-11-24,47,7,,106,50,56,2,41,48,15
2019-11-25,48,1,,327,152,175,8,157,144,18
2019-11-26,48,2,,368,179,189,7,172,172,17
2019-11-27,48,3,,205,101,104,7,95,94,9
2019-11-28,48,4,,217,104,113,6,101,98,12
2019-11-29,48,5,,223,110,113,7,99,103,14
2019-11-30,48,6,,330,164,166,12,138,152,28
2019-12-01,48,7,,10,3,7,0,5,3,2
2019-12-02,49,1,,246,127,119,7,106,120,13
2019-12-03,49,2,,255,130,125,10,113,120,12
2019-12-04,49,3,,318,161,157,9,145,152,12
2019-12-05,49,4,,414,194,220,16,199,178,21
2019-12-06,49,5,,301,152,149,7,136,145,13
2019-12-07,49,6,,324,155,169,21,138,134,31
2019-12-08,49,7,,217,94,123,17,96,77,27
2019-12-09,50,1,,156,76,80,12,71,64,9
2019-12-10,50,2,,301,146,155,14,138,132,17
2019-12-11,50,3,,184,90,94,5,88,85,6
2019-12-12,50,4,,286,143,143,11,125,132,18
2019-12-13,50,5,,177,85,92,6,76,79,16
2019-12-14,50,6,,113,61,52,9,47,52,5
2019-12-15,50,7,,196,93,103,10,75,83,28
2019-12-16,51,1,,308,155,153,17,146,138,7
2019-12-17,51,2,,386,180,206,23,182,157,24
2019-12-18,51,3,,438,214,224,18,200,196,24
2019-12-19,51,4,,421,203,218,19,201,184,17
2019-12-20,51,5,,103,52,51,1,44,51,7
2019-12-21,51,6,,311,155,156,21,131,134,25
2019-12-22,51,7,,60,30,30,1,25,29,5
2019-12-23,52,1,,159,74,85,8,75,66,10
2019-12-24,52,2,,86,40,46,1,40,39,6
2019-12-25,52,3,,50,25,25,5,16,20,9
2019-12-26,52,4,,239,124,115,10,97,114,18
2019-12-27,52,5,,115,58,57,5,46,53,11
2019-12-28,52,6,,227,115,112,14,94,101,18
2019-12-29,52,7,,96,43,53,5,43,38,10
2019-12-30,01,1,,277,138,139,24,120,114,19
2019-12-31,01,2,,243,126,117,14,102,112,15
2020-01-01,01,3,,65,27,38,2,30,25,8
2020-01-02,01,4,,206,100,106,6,96,94,10
2020-01-03,01,5,,265,132,133,16,120,116,13
2020-01-04,01,6,,339,164,175,13,146,151,29
2020-01-05,01,7,,131,63,68,11,56,52,12
2020-01-06,02,1,,332,162,170,19,154,143,16
2020-01-07,02,2,,327,166,161,17,142,149,19
2020-01-08,02,3,,349,169,180,19,163,150,17
2020-01-09,02,4,,321,156,165,13,145,143,20
2020-01-10,02,5,,278,139,139,12,121,127,18
2020-01-11,02,6,,378,191,187,16,150,175,37
2020-01-12,02,7,,215,89,126,15,95,74,31
2020-01-13,03,1,,345,169,176,14,166,155,10
2020-01-14,03,2,,344,163,181,9,167,154,14
2020-01-15,03,3,,312,155,157,15,147,140,10
2020-01-16,03,4,,322,152,170,8,155,144,15
2020-01-17,03,5,,205,98,107,3,101,95,6
2020-01-18,03,6,,320,168,152,22,122,146,30
2020-01-19,03,7,,143,66,77,17,53,49,24
2020-01-20,04,1,,265,131,134,10,124,121,10
2020-01-21,04,2,,267,127,140,10,131,117,9
2020-01-22,04,3,,292,143,149,6,139,137,10
2020-01-23,04,4,,311,153,158,11,147,142,11
2020-01-24,04,5,,254,131,123,12,112,119,11
2020-01-25,04,6,,333,165,168,23,138,142,30
2020-01-26,04,7,,94,46,48,10,32,36,16
2020-01-27,05,1,,283,130,153,10,140,120,13
2020-01-28,05,2,,179,86,93,6,78,80,15
2020-01-29,05,3,,178,87,91,7,83,80,8
2020-01-30,05,4,,221,111,110,4,104,107,6
2020-01-31,05,5,,284,139,145,16,131,123,14
2020-02-01,05,6,,237,116,121,11,101,105,20
2020-02-02,05,7,,29,16,13,2,8,14,5
2020-02-03,06,1,,372,182,190,14,164,168,26
2020-02-04,06,2,,156,79,77,1,62,78,15
2020-02-05,06,3,,294,147,147,8,129,139,18
2020-02-06,06,4,,308,154,154,8,144,146,10
2020-02-07,06,5,,333,166,167,11,147,155,20
2020-02-08,06,6,,386,199,187,35,157,164,30
2020-02-09,06,7,,253,128,125,20,98,108,27
2020-02-10,07,1,,278,134,144,7,127,127,17
2020-02-11,07,2,,172,88,84,3,76,85,8
2020-02-12,07,3,,370,178,192,19,164,159,28
