date,week,dow,status,total,in,out,101049059,102049059,103049059,104049059
2019-01-09,02,3,,114,25,89,2,73,23,16
2019-01-10,02,4,,415,216,199,16,177,200,22
2019-01-11,02,5,,402,196,206,22,182,174,24
2019-01-12,02,6,1,283,137,146,18,125,119,21
2019-01-13,02,7,1,195,82,113,29,88,53,25
2019-01-14,03,1,,308,151,157,6,138,145,19
2019-01-15,03,2,,627,320,307,34,271,286,36
2019-01-16,03,3,,623,312,311,42,264,270,47
2019-01-17,03,4,,365,188,177,14,159,174,18
2019-01-18,03,5,,380,193,187,13,169,180,18
2019-01-19,03,6,1,410,200,210,32,177,168,33
2019-01-20,03,7,1,383,167,216,30,178,137,38
2019-01-21,04,1,,530,258,272,24,257,234,15
2019-01-22,04,2,,510,248,262,14,239,234,23
2019-01-23,04,3,,266,139,127,11,108,128,19
2019-01-24,04,4,,312,154,158,7,137,147,21
2019-01-25,04,5,,341,171,170,15,150,156,20
2019-01-26,04,6,1,335,161,174,28,145,133,29
2019-01-27,04,7,1,127,64,63,13,54,51,9
2019-01-28,05,1,,369,182,187,8,171,174,16
2019-01-29,05,2,,417,205,212,21,190,184,22
2019-01-30,05,3,,346,177,169,11,145,166,24
2019-01-31,05,4,,368,190,178,9,162,181,16
2019-02-01,05,5,,150,80,70,12,66,68,4
2019-02-02,05,6,1,147,74,73,10,55,64,18
2019-02-03,05,7,1,107,52,55,5,39,47,16
2019-02-04,06,1,,491,251,240,23,210,228,30
2019-02-05,06,2,,549,291,258,29,238,262,20
2019-02-06,06,3,,559,273,286,19,255,254,31
2019-02-07,06,4,,380,194,186,11,165,183,21
2019-02-08,06,5,,422,207,215,10,190,197,25
2019-02-09,06,6,1,345,188,157,32,127,156,30
2019-02-10,06,7,1,234,96,138,14,108,82,30
2019-02-11,07,1,,262,138,124,8,113,130,11
2019-02-12,07,2,,590,308,282,29,245,279,37
2019-02-13,07,3,,610,315,295,25,264,290,31
2019-02-14,07,4,,684,343,341,50,300,293,41
2019-02-15,07,5,,685,352,333,36,293,316,40
2019-02-16,07,6,5,893,403,490,73,385,330,105
2019-02-17,07,7,5,988,435,553,67,438,368,115
2019-02-18,08,1,4,759,372,387,46,331,326,56
2019-02-19,08,2,4,784,387,397,36,333,351,64
2019-02-20,08,3,4,738,355,383,35,329,320,54
2019-02-21,08,4,4,777,385,392,38,326,347,66
2019-02-22,08,5,4,728,348,380,37,326,311,54
2019-02-23,08,6,5,725,329,396,50,314,279,82
2019-02-24,08,7,5,949,442,507,66,413,376,94
2019-02-25,09,1,4,669,329,340,47,291,282,49
2019-02-26,09,2,4,794,379,415,39,359,340,56
2019-02-27,09,3,4,881,433,448,40,393,393,55
2019-02-28,09,4,4,834,407,427,46,368,361,59
2019-03-01,09,5,4,353,165,188,22,165,143,23
2019-03-02,09,6,5,266,129,137,16,111,113,26
2019-03-03,09,7,5,1120,516,604,90,485,426,119
2019-03-04,10,1,,493,256,237,27,211,229,26
2019-03-05,10,2,,929,447,482,38,425,409,57
2019-03-06,10,3,,656,308,348,20,311,288,37
2019-03-07,10,4,,590,281,309,25,271,256,38
2019-03-08,10,5,,732,349,383,38,344,311,39
