date,week,dow,status,total,in,out,101000566,102000566,353244406,353244410
2015-12-30,53,3,4,495,244,251,244,251
2015-12-31,53,4,4,261,137,124,137,124
2016-01-01,53,5,6,494,254,240,254,240
2016-01-02,53,6,5,113,59,54,59,54
2016-01-03,53,7,5,502,243,259,243,259
2016-01-04,01,1,,1786,907,879,907,879
2016-01-05,01,2,,2468,1250,1218,1250,1218
2016-01-06,01,3,,2014,1021,993,1021,993
2016-01-07,01,4,,1257,619,638,619,638
2016-01-08,01,5,,1828,910,918,910,918
2016-01-09,01,6,1,256,123,133,123,133
2016-01-10,01,7,1,607,298,309,298,309
2016-01-11,02,1,,1715,885,830,885,830
2016-01-12,02,2,,2013,1067,946,1067,946
2016-01-13,02,3,,2184,1114,1070,1114,1070
2016-01-14,02,4,,1622,819,803,819,803
2016-01-15,02,5,,2027,1030,997,1030,997
2016-01-16,02,6,1,303,158,145,158,145
2016-01-17,02,7,1,385,201,184,201,184
2016-01-18,03,1,,2148,1095,1053,1095,1053
2016-01-19,03,2,,2252,1140,1112,1140,1112
2016-01-20,03,3,,2498,1281,1217,1281,1217
2016-01-21,03,4,,2520,1297,1223,1297,1223
2016-01-22,03,5,,2332,1207,1125,1207,1125
2016-01-23,03,6,1,867,450,417,450,417
2016-01-24,03,7,1,1037,496,541,496,541
2016-01-25,04,1,,2787,1444,1343,1444,1343
2016-01-26,04,2,,2954,1495,1459,1495,1459
2016-01-27,04,3,,2945,1504,1441,1504,1441
2016-01-28,04,4,,2848,1485,1363,1485,1363
2016-01-29,04,5,,974,239,735,239,735
2016-01-30,04,6,1,1098,561,537,561,537
2016-01-31,04,7,1,188,100,88,100,88
2016-02-01,05,1,,2540,1293,1247,1293,1247
2016-02-02,05,2,,3104,1585,1519,1585,1519
2016-02-03,05,3,,1610,838,772,838,772
2016-02-04,05,4,,2673,1344,1329,1344,1329
2016-02-05,05,5,,2488,1252,1236,1252,1236
2016-02-06,05,6,1,969,490,479,490,479
2016-02-07,05,7,1,215,119,96,119,96
2016-02-08,06,1,,2512,1276,1236,1276,1236
2016-02-09,06,2,,2248,1140,1108,1140,1108
2016-02-10,06,3,,2496,1270,1226,1270,1226
2016-02-11,06,4,,2644,1360,1284,1360,1284
2016-02-12,06,5,,1772,897,875,897,875
2016-02-13,06,6,5,697,351,346,351,346
2016-02-14,06,7,5,461,236,225,236,225
2016-02-15,07,1,4,2030,1045,985,1045,985
2016-02-16,07,2,4,2333,1185,1148,1185,1148
2016-02-17,07,3,4,2430,1234,1196,1234,1196
2016-02-18,07,4,4,2448,1256,1192,1256,1192
2016-02-19,07,5,4,1926,1000,926,1000,926
2016-02-20,07,6,5,716,348,368,348,368
2016-02-21,07,7,5,1458,748,710,748,710
2016-02-22,08,1,4,1270,647,623,647,623
2016-02-23,08,2,4,1202,621,581,621,581
2016-02-24,08,3,4,1521,745,776,745,776
2016-02-25,08,4,4,991,483,508,483,508
2016-02-26,08,5,4,1388,700,688,700,688
2016-02-27,08,6,5,724,358,366,358,366
2016-02-28,08,7,5,984,515,469,515,469
2016-02-29,09,1,,2009,1039,970,1039,970
2016-03-01,09,2,,2773,1404,1369,1404,1369
2016-03-02,09,3,,1716,895,821,895,821
2016-03-03,09,4,,1372,666,706,666,706
2016-03-04,09,5,,1783,909,874,909,874
2016-03-05,09,6,1,684,352,332,352,332
2016-03-06,09,7,1,645,325,320,325,320
2016-03-07,10,1,,2607,1328,1279,1328,1279
2016-03-08,10,2,,2063,1046,1017,1046,1017
2016-03-09,10,3,,2861,1474,1387,1474,1387
2016-03-10,10,4,,2925,1503,1422,1503,1422
2016-03-11,10,5,,2361,1215,1146,1215,1146
2016-03-12,10,6,1,712,363,349,363,349
2016-03-13,10,7,1,1065,531,534,531,534
2016-03-14,11,1,,2972,1506,1466,1506,1466
2016-03-15,11,2,,3263,1634,1629,1634,1629
2016-03-16,11,3,,1651,857,794,857,794
2016-03-17,11,4,,3211,1621,1590,1621,1590
2016-03-18,11,5,,2815,1450,1365,1450,1365
2016-03-19,11,6,1,1519,775,744,775,744
2016-03-20,11,7,1,1350,697,653,697,653
2016-03-21,12,1,,2867,1457,1410,1457,1410
2016-03-22,12,2,,2974,1515,1459,1515,1459
2016-03-23,12,3,,2940,1505,1435,1505,1435
2016-03-24,12,4,,3306,1659,1647,1659,1647
2016-03-25,12,5,,2223,1133,1090,1133,1090
2016-03-26,12,6,1,1630,809,821,809,821
2016-03-27,12,7,1,264,143,121,143,121
2016-03-28,13,1,2,500,255,245,255,245
2016-03-29,13,2,,2562,1280,1282,1280,1282
2016-03-30,13,3,,3453,1713,1740,1713,1740
2016-03-31,13,4,,4446,2275,2171,2275,2171
2016-04-01,13,5,,2453,1243,1210,1243,1210
2016-04-02,13,6,1,1564,806,758,806,758
2016-04-03,13,7,1,1371,678,693,678,693
2016-04-04,14,1,,3092,1561,1531,1561,1531
2016-04-05,14,2,,2607,1333,1274,1333,1274
2016-04-06,14,3,,2686,1352,1334,1352,1334
2016-04-07,14,4,,3460,1751,1709,1751,1709
2016-04-08,14,5,,2396,1191,1205,1191,1205
2016-04-09,14,6,5,940,473,467,473,467
2016-04-10,14,7,5,2444,1268,1176,1268,1176
2016-04-11,15,1,4,3517,1772,1745,1772,1745
2016-04-12,15,2,4,3914,2016,1898,2016,1898
2016-04-13,15,3,4,2004,1058,946,1058,946
2016-04-14,15,4,4,3772,1903,1869,1903,1869
2016-04-15,15,5,4,2773,1445,1328,1445,1328
2016-04-16,15,6,5,1620,839,781,839,781
2016-04-17,15,7,5,429,187,242,187,242
2016-04-18,16,1,4,1594,816,778,816,778
2016-04-19,16,2,4,2679,1349,1330,1349,1330
2016-04-20,16,3,4,2613,1323,1290,1323,1290
2016-04-21,16,4,4,2234,1115,1119,1115,1119
2016-04-22,16,5,4,1515,749,766,749,766
2016-04-23,16,6,5,247,134,113,134,113
2016-04-24,16,7,5,827,416,411,416,411
2016-04-25,17,1,,2849,1432,1417,1432,1417
2016-04-26,17,2,,2881,1459,1422,1459,1422
2016-04-27,17,3,,3405,1710,1695,1710,1695
2016-04-28,17,4,,4299,2154,2145,2154,2145
2016-04-29,17,5,,3462,1717,1745,1717,1745
2016-04-30,17,6,1,901,457,444,457,444
2016-05-01,17,7,3,390,199,191,199,191
2016-05-02,18,1,,2715,1362,1353,1362,1353
2016-05-03,18,2,,3078,1587,1491,1587,1491
2016-05-04,18,3,,3581,1809,1772,1809,1772
2016-05-05,18,4,2,2258,1176,1082,1176,1082
2016-05-06,18,5,,1856,924,932,924,932
2016-05-07,18,6,1,1399,687,712,687,712
2016-05-08,18,7,3,1694,859,835,859,835
2016-05-09,19,1,,2776,1413,1363,1413,1363
2016-05-10,19,2,,3549,1782,1767,1782,1767
2016-05-11,19,3,,1398,729,669,729,669
2016-05-12,19,4,,2639,1339,1300,1339,1300
2016-05-13,19,5,,1311,644,667,644,667
2016-05-14,19,6,1,638,328,310,328,310
2016-05-15,19,7,1,1455,727,728,727,728
2016-05-16,20,1,2,2309,1144,1165,1144,1165
2016-05-17,20,2,,3627,1827,1800,1827,1800
2016-05-18,20,3,,3542,1773,1769,1773,1769
2016-05-19,20,4,,1882,953,929,953,929
2016-05-20,20,5,,3367,1697,1670,1697,1670
2016-05-21,20,6,1,2250,1097,1153,1097,1153
2016-05-22,20,7,1,1782,869,913,869,913
2016-05-23,21,1,,1375,723,652,723,652
2016-05-24,21,2,,3063,1501,1562,1501,1562
2016-05-25,21,3,,3466,1773,1693,1773,1693
2016-05-26,21,4,,4067,2019,2048,2019,2048
2016-05-27,21,5,,3639,1822,1817,1822,1817
2016-05-28,21,6,1,2022,1049,973,1049,973
2016-05-29,21,7,1,481,259,222,259,222
2016-05-30,22,1,,2228,1137,1091,1137,1091
2016-05-31,22,2,,2241,1097,1144,1097,1144
2016-06-01,22,3,,2870,1472,1398,1472,1398
2016-06-02,22,4,,2896,1503,1393,1503,1393
2016-06-03,22,5,,2850,1447,1403,1447,1403
2016-06-04,22,6,1,1661,853,808,853,808
2016-06-05,22,7,1,1617,825,792,825,792
2016-06-06,23,1,,3538,1771,1767,1771,1767
2016-06-07,23,2,,3482,1767,1715,1767,1715
2016-06-08,23,3,,2899,1478,1421,1478,1421
2016-06-09,23,4,,3625,1838,1787,1838,1787
2016-06-10,23,5,,3588,1815,1773,1815,1773
2016-06-11,23,6,1,1567,821,746,821,746
2016-06-12,23,7,1,1637,812,825,812,825
2016-06-13,24,1,,2238,1134,1104,1134,1104
2016-06-14,24,2,,2707,1359,1348,1359,1348
2016-06-15,24,3,,2390,1212,1178,1212,1178
2016-06-16,24,4,,1477,756,721,756,721
2016-06-17,24,5,,2288,1150,1138,1150,1138
2016-06-18,24,6,1,796,413,383,413,383
2016-06-19,24,7,1,802,396,406,396,406
2016-06-20,25,1,,3302,1698,1604,1698,1604
2016-06-21,25,2,,3321,1643,1678,1643,1678
2016-06-22,25,3,,3530,1848,1682,1848,1682
2016-06-23,25,4,,3692,1872,1820,1872,1820
2016-06-24,25,5,,3135,1584,1551,1584,1551
2016-06-25,25,6,1,1147,571,576,571,576
2016-06-26,25,7,1,1376,693,683,693,683
2016-06-27,26,1,,3183,1607,1576,1607,1576
2016-06-28,26,2,,3561,1775,1786,1775,1786
2016-06-29,26,3,,3267,1666,1601,1666,1601
2016-06-30,26,4,,2919,1473,1446,1473,1446
2016-07-01,26,5,,3032,1506,1526,1506,1526
2016-07-02,26,6,1,1119,558,561,558,561
2016-07-03,26,7,1,1581,790,791,790,791
2016-07-04,27,1,,3081,1521,1560,1521,1560
2016-07-05,27,2,4,3055,1525,1530,1525,1530
2016-07-06,27,3,4,3183,1595,1588,1595,1588
2016-07-07,27,4,4,3194,1589,1605,1589,1605
2016-07-08,27,5,4,2880,1414,1466,1414,1466
2016-07-09,27,6,5,1225,618,607,618,607
2016-07-10,27,7,5,1342,667,675,667,675
2016-07-11,28,1,4,2312,1194,1118,1194,1118
2016-07-12,28,2,4,1216,632,584,632,584
2016-07-13,28,3,4,1969,1029,940,1029,940
2016-07-14,28,4,6,802,402,400,402,400
2016-07-15,28,5,4,1222,621,601,621,601
2016-07-16,28,6,5,1064,530,534,530,534
2016-07-17,28,7,5,1279,635,644,635,644
