date,week,dow,status,total,in,out,101047091,102047091,103047091,104047091
2018-09-11,37,2,,846,454,392,385,21,69,371
2018-09-12,37,3,,1393,742,651,665,34,77,617
2018-09-13,37,4,,1378,730,648,657,29,73,619
2018-09-14,37,5,,1183,610,573,547,31,63,542
2018-09-15,37,6,1,771,382,389,318,51,64,338
2018-09-16,37,7,1,564,323,241,235,30,88,211
2018-09-17,38,1,,1375,720,655,651,24,69,631
2018-09-18,38,2,,1480,780,700,716,25,64,675
2018-09-19,38,3,,1378,688,690,564,36,124,654
2018-09-20,38,4,,1502,803,699,750,27,53,672
2018-09-21,38,5,,1201,633,568,594,17,39,551
2018-09-22,38,6,1,702,363,339,327,30,36,309
2018-09-23,38,7,1,500,277,223,237,17,40,206
2018-09-24,39,1,,1313,695,618,649,19,46,599
2018-09-25,39,2,,1408,741,667,704,23,37,644
2018-09-26,39,3,,1481,788,693,727,38,61,655
2018-09-27,39,4,,1410,775,635,717,32,58,603
2018-09-28,39,5,,1307,722,585,631,38,91,547
2018-09-29,39,6,1,707,383,324,338,20,45,304
2018-09-30,39,7,1,357,192,165,155,21,37,144
2018-10-01,40,1,,817,444,373,400,15,44,358
2018-10-02,40,2,,1312,708,604,655,17,53,587
2018-10-03,40,3,,1345,707,638,651,23,56,615
2018-10-04,40,4,,1373,726,647,675,22,51,625
2018-10-05,40,5,,1311,683,628,643,22,40,606
2018-10-06,40,6,1,742,401,341,356,24,45,317
2018-10-07,40,7,1,160,88,72,72,4,16,68
2018-10-08,41,1,,1131,597,534,556,13,41,521
2018-10-09,41,2,,1417,747,670,685,23,62,647
2018-10-10,41,3,,1338,704,634,647,21,57,613
2018-10-11,41,4,,1148,600,548,548,23,52,525
2018-10-12,41,5,,1293,678,615,630,22,48,593
2018-10-13,41,6,1,775,400,375,342,34,58,341
2018-10-14,41,7,1,491,254,237,214,27,40,210
2018-10-15,42,1,,1267,673,594,614,23,59,571
2018-10-16,42,2,,1385,729,656,693,19,36,637
2018-10-17,42,3,,1298,667,631,634,23,33,608
2018-10-18,42,4,,1483,783,700,716,25,67,675
2018-10-19,42,5,,1335,700,635,638,22,62,613
2018-10-20,42,6,5,731,389,342,335,35,54,307
2018-10-21,42,7,5,517,286,231,237,17,49,214
2018-10-22,43,1,4,1164,617,547,579,20,38,527
2018-10-23,43,2,4,1229,656,573,613,22,43,551
2018-10-24,43,3,4,1181,624,557,583,23,41,534
2018-10-25,43,4,4,1219,643,576,586,17,57,559
