date,week,dow,status,total,in,out,101057387,102057387,103057387,104057387
2019-12-18,51,3,,322,170,152,149,12,21,140
2019-12-19,51,4,,1266,614,652,557,39,57,613
2019-12-20,51,5,,394,198,196,183,14,15,182
2019-12-21,51,6,5,592,302,290,249,41,53,249
2019-12-22,51,7,5,137,74,63,57,9,17,54
2019-12-23,52,1,4,264,131,133,113,9,18,124
2019-12-24,52,2,4,172,77,95,69,5,8,90
2019-12-25,52,3,6,137,72,65,54,6,18,59
2019-12-26,52,4,4,481,239,242,189,24,50,218
2019-12-27,52,5,4,154,73,81,66,9,7,72
2019-12-28,52,6,5,482,262,220,209,31,53,189
2019-12-29,52,7,5,460,246,214,207,25,39,189
2019-12-30,01,1,4,538,274,264,232,29,42,235
2019-12-31,01,2,4,606,309,297,270,28,39,269
2020-01-01,01,3,6,264,130,134,103,22,27,112
2020-01-02,01,4,4,510,260,250,231,11,29,239
2020-01-03,01,5,4,647,320,327,291,22,29,305
2020-01-04,01,6,5,643,328,315,272,33,56,282
2020-01-05,01,7,5,628,328,300,253,39,75,261
2020-01-06,02,1,,1196,607,589,566,26,41,563
2020-01-07,02,2,,1212,602,610,554,33,48,577
2020-01-08,02,3,,1226,599,627,542,45,57,582
2020-01-09,02,4,,1323,649,674,594,45,55,629
2020-01-10,02,5,,828,410,418,364,25,46,393
2020-01-11,02,6,1,766,387,379,301,41,86,338
2020-01-12,02,7,1,840,412,428,325,49,87,379
2020-01-13,03,1,,1121,543,578,487,24,56,554
2020-01-14,03,2,,1307,655,652,586,36,69,616
2020-01-15,03,3,,1126,562,564,522,40,40,524
2020-01-16,03,4,,1407,697,710,634,41,63,669
2020-01-17,03,5,,688,342,346,323,12,19,334
2020-01-18,03,6,1,666,342,324,283,32,59,292
2020-01-19,03,7,1,459,232,227,186,30,46,197
2020-01-20,04,1,,1042,528,514,491,26,37,488
2020-01-21,04,2,,1106,553,553,517,26,36,527
2020-01-22,04,3,,1072,535,537,486,37,49,500
2020-01-23,04,4,,1132,557,575,516,29,41,546
2020-01-24,04,5,,871,443,428,405,21,38,407
2020-01-25,04,6,1,716,383,333,311,37,72,296
2020-01-26,04,7,1,283,139,144,106,16,33,128
2020-01-27,05,1,,1124,570,554,512,24,58,530
2020-01-28,05,2,,758,370,388,339,16,31,372
2020-01-29,05,3,,665,336,329,299,11,37,318
2020-01-30,05,4,,914,454,460,421,31,33,429
2020-01-31,05,5,,1111,563,548,503,42,60,506
2020-02-01,05,6,1,531,266,265,216,30,50,235
2020-02-02,05,7,1,180,92,88,64,15,28,73
2020-02-03,06,1,,1579,790,789,678,74,112,715
2020-02-04,06,2,,633,326,307,299,14,27,293
2020-02-05,06,3,,1048,551,497,475,29,76,468
2020-02-06,06,4,,1196,593,603,552,39,41,564
