date,week,dow,status,total,in,out,101051043,102051043,103051043,104051043
2019-04-15,16,1,4,106,54,52,44,6,10,46
2019-04-16,16,2,4,1184,583,601,554,25,29,576
2019-04-17,16,3,4,1389,708,681,656,32,52,649
2019-04-18,16,4,4,1433,712,721,656,15,56,706
2019-04-19,16,5,4,1287,681,606,637,20,44,586
2019-04-20,16,6,5,806,444,362,390,18,54,344
2019-04-21,16,7,5,477,240,237,204,21,36,216
2019-04-22,17,1,6,521,273,248,239,20,34,228
2019-04-23,17,2,4,1191,608,583,560,21,48,562
2019-04-24,17,3,4,973,503,470,453,24,50,446
2019-04-25,17,4,4,1111,548,563,508,23,40,540
2019-04-26,17,5,4,1048,547,501,504,25,43,476
2019-04-27,17,6,5,694,364,330,329,36,35,294
2019-04-28,17,7,5,417,192,225,165,16,27,209
2019-04-29,18,1,,1294,656,638,608,16,48,622
2019-04-30,18,2,,1681,847,834,781,36,66,798
2019-05-01,18,3,2,1290,694,596,588,41,106,555
2019-05-02,18,4,,1227,638,589,598,22,40,567
2019-05-03,18,5,,1324,668,656,623,22,45,634
2019-05-04,18,6,1,966,520,446,476,23,44,423
2019-05-05,18,7,1,457,228,229,205,10,23,219
2019-05-06,19,1,,1335,688,647,648,25,40,622
2019-05-07,19,2,,1674,831,843,774,34,57,809
2019-05-08,19,3,2,483,249,234,224,22,25,212
2019-05-09,19,4,,1356,673,683,628,18,45,665
2019-05-10,19,5,,1643,845,798,774,41,71,757
2019-05-11,19,6,1,693,339,354,300,33,39,321
2019-05-12,19,7,1,685,346,339,309,22,37,317
2019-05-13,20,1,,1526,744,782,693,37,51,745
2019-05-14,20,2,,1784,903,881,838,35,65,846
2019-05-15,20,3,,1715,887,828,824,25,63,803
2019-05-16,20,4,,1758,868,890,815,33,53,857
2019-05-17,20,5,,1284,620,664,593,52,27,612
2019-05-18,20,6,1,1037,524,513,476,35,48,478
2019-05-19,20,7,1,499,221,278,200,39,21,239
2019-05-20,21,1,,895,431,464,417,42,14,422
2019-05-21,21,2,,1710,824,886,785,29,39,857
2019-05-22,21,3,,2001,964,1037,888,46,76,991
2019-05-23,21,4,,2004,983,1021,921,26,62,995
2019-05-24,21,5,,2077,1054,1023,981,32,73,991
2019-05-25,21,6,1,1308,596,712,551,39,45,673
2019-05-26,21,7,1,890,396,494,354,35,42,459
2019-05-27,22,1,,1695,844,851,796,41,48,810
2019-05-28,22,2,,1298,603,695,571,46,32,649
2019-05-29,22,3,,1701,830,871,778,36,52,835
2019-05-30,22,4,6,931,472,459,409,37,63,422
2019-05-31,22,5,4,1253,619,634,553,38,66,596
2019-06-01,22,6,5,1059,548,511,490,42,58,469
2019-06-02,22,7,5,769,352,417,304,24,48,393
2019-06-03,23,1,,2041,1074,967,937,53,137,914
2019-06-04,23,2,,2158,1028,1130,951,46,77,1084
2019-06-05,23,3,,2165,1065,1100,976,31,89,1069
2019-06-06,23,4,,2116,1034,1082,978,36,56,1046
2019-06-07,23,5,,1914,942,972,870,47,72,925
2019-06-08,23,6,1,1307,666,641,612,34,54,607
2019-06-09,23,7,1,669,324,345,286,34,38,311
2019-06-10,24,1,2,457,217,240,201,21,16,219
2019-06-11,24,2,,1018,488,530,475,55,13,475
2019-06-12,24,3,,2233,1170,1063,1069,29,101,1034
2019-06-13,24,4,,2131,1049,1082,967,45,82,1037
2019-06-14,24,5,,1682,784,898,723,44,61,854
2019-06-15,24,6,1,973,458,515,402,37,56,478
2019-06-16,24,7,1,989,468,521,410,30,58,491
2019-06-17,25,1,,1802,888,914,840,24,48,890
2019-06-18,25,2,,2470,1170,1300,1077,52,93,1248
2019-06-19,25,3,,2054,1016,1038,958,37,58,1001
2019-06-20,25,4,,1624,797,827,733,42,64,785
2019-06-21,25,5,,1457,729,728,682,46,47,682
2019-06-22,25,6,1,1290,612,678,552,37,60,641
2019-06-23,25,7,1,1024,488,536,421,33,67,503
2019-06-24,26,1,,1908,943,965,880,27,63,938
2019-06-25,26,2,,2075,1028,1047,964,40,64,1007
2019-06-26,26,3,,2035,1025,1010,937,51,88,959
2019-06-27,26,4,,1810,860,950,802,33,58,917
2019-06-28,26,5,,1628,834,794,769,27,65,767
2019-06-29,26,6,1,907,452,455,405,30,47,425
2019-06-30,26,7,1,623,316,307,274,21,42,286
2019-07-01,27,1,,1587,745,842,706,23,39,819
2019-07-02,27,2,,1960,955,1005,891,46,64,959
2019-07-03,27,3,,1978,980,998,897,35,83,963
2019-07-04,27,4,,2043,1010,1033,937,30,73,1003
2019-07-05,27,5,,1863,895,968,838,36,57,932
2019-07-06,27,6,5,1154,577,577,520,33,57,544
2019-07-07,27,7,5,864,434,430,387,27,47,403
2019-07-08,28,1,4,1905,901,1004,838,34,63,970
2019-07-09,28,2,4,1885,914,971,848,37,66,934
2019-07-10,28,3,4,2105,1041,1064,967,30,74,1034
2019-07-11,28,4,4,2060,988,1072,911,40,77,1032
2019-07-12,28,5,4,1856,881,975,781,38,100,937
2019-07-13,28,6,5,1235,606,629,545,26,61,603
2019-07-14,28,7,7,1394,716,678,614,36,102,642
2019-07-15,29,1,4,1734,834,900,795,37,39,863
2019-07-16,29,2,4,2129,1002,1127,944,44,58,1083
2019-07-17,29,3,4,2097,1009,1088,951,47,58,1041
2019-07-18,29,4,4,2068,1025,1043,958,31,67,1012
2019-07-19,29,5,4,1819,891,928,833,42,58,886
2019-07-20,29,6,5,1158,581,577,513,32,68,545
2019-07-21,29,7,5,808,359,449,322,30,37,419
2019-07-22,30,1,4,1559,772,787,714,25,58,762
2019-07-23,30,2,4,1808,867,941,810,35,57,906
2019-07-24,30,3,4,1638,819,819,755,27,64,792
2019-07-25,30,4,4,1532,736,796,688,32,48,764
2019-07-26,30,5,4,1504,732,772,684,34,48,738
2019-07-27,30,6,5,803,351,452,324,28,27,424
2019-07-28,30,7,5,527,256,271,225,15,31,256
2019-07-29,31,1,4,1561,766,795,709,32,57,763
2019-07-30,31,2,4,1762,872,890,815,30,57,860
2019-07-31,31,3,4,1702,846,856,787,27,59,829
2019-08-01,31,4,4,1719,808,911,753,28,55,883
2019-08-02,31,5,4,1579,776,803,723,27,53,776
2019-08-03,31,6,5,1053,509,544,463,32,46,512
2019-08-04,31,7,5,678,337,341,302,13,35,328
2019-08-05,32,1,4,1364,674,690,613,28,61,662
2019-08-06,32,2,4,1568,760,808,707,38,53,770
2019-08-07,32,3,4,1177,590,587,531,27,59,560
2019-08-08,32,4,4,1389,682,707,636,31,46,676
2019-08-09,32,5,4,1250,624,626,575,19,49,607
2019-08-10,32,6,5,817,407,410,359,19,48,391
2019-08-11,32,7,5,530,252,278,209,15,43,263
2019-08-12,33,1,4,734,351,383,303,13,48,370
2019-08-13,33,2,4,997,490,507,446,37,44,470
2019-08-14,33,3,4,1303,670,633,606,30,64,603
2019-08-15,33,4,6,819,389,430,334,28,55,402
2019-08-16,33,5,4,1066,525,541,470,33,55,508
2019-08-17,33,6,5,806,408,398,349,18,59,380
2019-08-18,33,7,5,644,319,325,280,25,39,300
2019-08-19,34,1,4,1212,572,640,537,19,35,621
2019-08-20,34,2,4,673,321,352,297,32,24,320
2019-08-21,34,3,4,1529,742,787,692,25,50,762
2019-08-22,34,4,4,1781,867,914,797,39,70,875
