date,week,dow,smh1,drac1,eyb1,gre1,gre2
2008-05-20,21,2,2148,134,471,1030,2157
2008-05-21,21,3,2431,354,640,1138,2221
2008-05-22,21,4,3446,386,916,1474,2568
2008-05-23,21,5,2726,361,787,1243,2311
2008-05-24,21,6,1215,329,403,515,971
2008-05-25,21,7,786,163,245,336,750
2008-05-26,22,1,1025,80,156,419,1026
2008-05-27,22,2,1682,128,342,784,1809
2008-05-28,22,3,2247,295,550,1019,2131
2008-05-29,22,4,1758,128,294,803,1657
2008-05-30,22,5,1544,130,252,742,1646
2008-05-31,22,6,1385,403,515,634,1280
2008-06-01,22,7,1623,559,425,563,922
2008-06-02,23,1,1470,147,394,631,1494
2008-06-03,23,2,2566,374,644,1221,2354
2008-06-04,23,3,1717,185,417,859,1892
2008-06-05,23,4,1928,172,416,990,1989
2008-06-06,23,5,1571,82,315,804,1634
2008-06-07,23,6,496,119,202,248,757
2008-06-08,23,7,1338,512,496,608,954
2008-06-09,24,1,2251,294,662,1108,2144
2008-06-10,24,2,2169,278,589,1161,2475
2008-06-11,24,3,1985,318,612,1122,2243
2008-06-12,24,4,2338,306,563,1191,2134
2008-06-13,24,5,2144,243,558,1096,2127
2008-06-14,24,6,2184,387,1212,752,905
2008-06-15,24,7,1458,426,407,519,919
2008-06-16,25,1,1077,128,249,676,1457
2008-06-17,25,2,1256,108,253,710,1592
2008-06-18,25,3,2474,456,741,1199,2327
2008-06-19,25,4,2816,501,806,1292,2516
2008-06-20,25,5,2611,441,733,1274,2431
2008-06-21,25,6,1371,476,544,640,1182
2008-06-22,25,7,1483,510,481,576,1001
2008-06-23,26,1,2420,453,744,1300,2333
2008-06-24,26,2,2415,506,792,1365,2531
2008-06-25,26,3,2389,600,737,1218,2486
2008-06-26,26,4,2432,623,686,1155,2391
2008-06-27,26,5,2194,552,664,1120,2266
2008-06-28,26,6,1071,644,455,540,1029
2008-06-29,26,7,907,425,338,341,671
2008-06-30,27,1,1940,607,663,990,2001
2008-07-01,27,2,2345,812,841,961,2331
2008-07-02,27,3,2257,782,763,684,2383
2008-07-03,27,4,537,74,180,160,740
2008-07-04,27,5,1773,681,708,632,1852
2008-07-05,27,6,1080,651,442,489,874
2008-07-06,27,7,724,384,288,367,764
2008-07-07,28,1,1317,418,458,533,1324
2008-07-08,28,2,2077,901,789,1016,2140
2008-07-09,28,3,2150,888,803,1115,2092
2008-07-10,28,4,2304,813,772,1066,1964
2008-07-11,28,5,1391,502,452,732,1479
2008-07-12,28,6,487,261,179,257,583
2008-07-13,28,7,707,474,315,320,577
2008-07-14,29,1,917,424,271,231,388
2008-07-15,29,2,1917,843,696,1027,1836
2008-07-16,29,3,2054,691,698,973,1849
2008-07-17,29,4,1969,533,646,996,1843
2008-07-18,29,5,1812,497,671,868,1765
2008-07-19,29,6,991,721,430,553,816
2008-07-20,29,7,318,218,149,171,447
2008-07-21,30,1,1584,457,609,788,1577
2008-07-22,30,2,1877,635,677,931,1851
2008-07-23,30,3,1777,827,738,947,1826
2008-07-24,30,4,1928,762,651,941,1947
2008-07-25,30,5,1652,634,617,811,1675
2008-07-26,30,6,684,547,355,353,721
2008-07-27,30,7,1274,771,415,570,791
2008-07-28,31,1,1640,730,611,860,1679
2008-07-29,31,2,1795,832,675,955,1851
2008-07-30,31,3,1577,693,650,863,1669
2008-07-31,31,4,1554,663,603,771,1655
2008-08-01,31,5,827,395,353,539,1329
2008-08-02,31,6,890,573,369,479,756
2008-08-03,31,7,987,703,373,426,674
2008-08-04,32,1,1213,621,567,714,1362
2008-08-05,32,2,1231,800,615,786,1454
2008-08-06,32,3,1232,796,604,789,1362
2008-08-07,32,4,898,505,377,577,1190
2008-08-08,32,5,945,511,437,561,1187
2008-08-09,32,6,863,585,320,416,711
2008-08-10,32,7,1054,594,327,345,616
2008-08-11,33,1,786,436,407,555,1067
2008-08-12,33,2,554,346,281,427,882
2008-08-13,33,3,1065,721,470,591,1212
2008-08-14,33,4,810,472,392,583,1082
2008-08-15,33,5,165,120,61,108,274
2008-08-16,33,6,703,701,356,411,558
2008-08-17,33,7,1168,660,403,394,591
2008-08-18,34,1,1455,856,598,791,1312
2008-08-19,34,2,1093,583,491,664,1252
2008-08-20,34,3,1340,774,543,741,1363
2008-08-21,34,4,1572,864,590,839,1423
2008-08-22,34,5,1089,486,454,740,1273
2008-08-23,34,6,701,609,335,484,645
2008-08-24,34,7,1455,904,528,552,796
2008-08-25,35,1,1780,780,689,931,1659
2008-08-26,35,2,1979,853,711,974,1874
2008-08-27,35,3,1876,868,783,998,1819
2008-08-28,35,4,1902,808,710,1036,1969
2008-08-29,35,5,1807,679,659,937,1871
2008-08-30,35,6,1129,723,439,535,859
2008-08-31,35,7,1540,828,501,616,922
2008-09-01,36,1,1920,647,590,1000,1858
2008-09-02,36,2,2613,822,763,1291,2383
2008-09-03,36,3,1894,497,541,1024,1889
2008-09-04,36,4,1149,165,235,598,1361
2008-09-05,36,5,2058,500,532,1137,2119
2008-09-06,36,6,442,261,174,263,593
2008-09-07,36,7,2079,1091,701,775,1213
2008-09-08,37,1,2662,843,781,1448,2248
2008-09-09,37,2,2604,637,635,1332,2401
2008-09-10,37,3,2401,647,625,1167,2184
2008-09-11,37,4,2603,579,586,1284,2145
2008-09-12,37,5,1276,184,204,607,1425
