date,week,dow,status,total,in,out,101055803,102055803,103055803,104055803
2019-12-05,49,4,,2183,1334,849,71,818,1263,31
2019-12-06,49,5,,2523,1569,954,84,907,1485,47
2019-12-07,49,6,,2067,1222,845,111,793,1111,52
2019-12-08,49,7,,1253,725,528,80,493,645,35
2019-12-09,50,1,,1677,998,679,48,639,950,40
2019-12-10,50,2,,2940,1787,1153,93,1099,1694,54
2019-12-11,50,3,,2048,1222,826,56,791,1166,35
2019-12-12,50,4,,2985,1714,1271,88,1171,1626,100
2019-12-13,50,5,,1955,1096,859,46,817,1050,42
2019-12-14,50,6,,1575,896,679,75,632,821,47
2019-12-15,50,7,,1279,713,566,61,523,652,43
2019-12-16,51,1,,2697,1517,1180,72,1140,1445,40
2019-12-17,51,2,,3833,2248,1585,120,1519,2128,66
2019-12-18,51,3,,3487,2006,1481,106,1418,1900,63
2019-12-19,51,4,,3667,2065,1602,130,1541,1935,61
2019-12-20,51,5,,1949,1101,848,52,803,1049,45
2019-12-21,51,6,,2211,1215,996,93,947,1122,49
2019-12-22,51,7,,967,522,445,49,401,473,44
2019-12-23,52,1,,1243,723,520,44,495,679,25
2019-12-24,52,2,,631,356,275,22,263,334,12
2019-12-25,52,3,,221,111,110,16,102,95,8
2019-12-26,52,4,,944,511,433,31,410,480,23
2019-12-27,52,5,,801,440,361,23,333,417,28
2019-12-28,52,6,,1103,636,467,53,440,583,27
2019-12-29,52,7,,627,347,280,36,256,311,24
2019-12-30,01,1,,1303,748,555,58,514,690,41
2019-12-31,01,2,,1152,651,501,36,474,615,27
2020-01-01,01,3,,482,269,213,28,189,241,24
2020-01-02,01,4,,1342,749,593,38,578,711,15
2020-01-03,01,5,,1574,884,690,54,660,830,30
2020-01-04,01,6,,1533,871,662,53,626,818,36
2020-01-05,01,7,,910,497,413,47,386,450,27
2020-01-06,02,1,,2412,1394,1018,62,975,1332,43
2020-01-07,02,2,,2815,1555,1260,83,1215,1472,45
2020-01-08,02,3,,2823,1559,1264,73,1201,1486,63
2020-01-09,02,4,,3226,1859,1367,101,1306,1758,61
2020-01-10,02,5,,2826,1580,1246,108,1181,1472,65
2020-01-11,02,6,,2150,1210,940,77,886,1133,54
2020-01-12,02,7,,1092,629,463,61,430,568,33
2020-01-13,03,1,,2510,1439,1071,82,1014,1357,57
2020-01-14,03,2,,3105,1805,1300,101,1254,1704,46
2020-01-15,03,3,,2964,1698,1266,84,1215,1614,51
2020-01-16,03,4,,3164,1849,1315,79,1253,1770,62
2020-01-17,03,5,,2145,1230,915,56,874,1174,41
2020-01-18,03,6,,1925,1058,867,75,807,983,60
2020-01-19,03,7,,1087,588,499,54,465,534,34
2020-01-20,04,1,,2468,1404,1064,62,1009,1342,55
2020-01-21,04,2,,2854,1670,1184,72,1140,1598,44
2020-01-22,04,3,,2739,1616,1123,85,1077,1531,46
2020-01-23,04,4,,3027,1758,1269,113,1206,1645,63
2020-01-24,04,5,,2893,1644,1249,72,1178,1572,71
2020-01-25,04,6,,1803,1031,772,77,719,954,53
2020-01-26,04,7,,937,499,438,54,393,445,45
2020-01-27,05,1,,2439,1391,1048,58,665,1333,383
2020-01-28,05,2,,2250,1264,986,41,900,1223,86
2020-01-29,05,3,,2421,1373,1048,55,966,1318,82
2020-01-30,05,4,,2682,1500,1182,58,1060,1442,122
2020-01-31,05,5,,2906,1620,1286,101,810,1519,476
2020-02-01,05,6,,1888,1043,845,91,794,952,51
2020-02-02,05,7,,692,384,308,35,274,349,34
2020-02-03,06,1,,2758,1562,1196,89,1153,1473,43
2020-02-04,06,2,,2167,1243,924,66,864,1177,60
2020-02-05,06,3,,2877,1629,1248,95,1203,1534,45
2020-02-06,06,4,,3113,1780,1333,99,1272,1681,61
2020-02-07,06,5,,2996,1697,1299,96,1257,1601,42
2020-02-08,06,6,,2048,1133,915,84,860,1049,55
2020-02-09,06,7,,1151,648,503,63,481,585,22
2020-02-10,07,1,,2749,1554,1195,86,1141,1468,54
2020-02-11,07,2,,2540,1389,1151,61,1102,1328,49
2020-02-12,07,3,,3130,1718,1412,102,1354,1616,58
2020-02-13,07,4,,2744,1527,1217,85,1177,1442,40
2020-02-14,07,5,,3336,1814,1522,105,1457,1709,65
2020-02-15,07,6,,2113,1137,976,94,921,1043,55
2020-02-16,07,7,,1266,734,532,81,501,653,31
2020-02-17,08,1,,2450,1381,1069,71,1033,1310,36
2020-02-18,08,2,,3113,1729,1384,81,1333,1648,51
2020-02-19,08,3,,2724,1515,1209,81,1165,1434,44
2020-02-20,08,4,,3516,1994,1522,112,1478,1882,44
2020-02-21,08,5,,3295,1834,1461,89,1395,1745,66
2020-02-22,08,6,,1996,1150,846,82,810,1068,36
2020-02-23,08,7,,1186,682,504,73,480,609,24
2020-02-24,09,1,,2419,1327,1092,68,1039,1259,53
2020-02-25,09,2,,2348,1290,1058,69,1025,1221,33
2020-02-26,09,3,,1831,1024,807,64,775,960,32
2020-02-27,09,4,,1794,972,822,44,792,928,30
2020-02-28,09,5,,2315,1247,1068,68,1035,1179,33
2020-02-29,09,6,,1395,755,640,67,603,688,37
2020-03-01,09,7,,920,509,411,47,387,462,24
2020-03-02,10,1,,1368,726,642,38,616,688,26
2020-03-03,10,2,,2562,1393,1169,60,1102,1333,67
2020-03-04,10,3,,2661,1431,1230,85,1181,1346,49
2020-03-05,10,4,,1725,911,814,37,782,874,32
2020-03-06,10,5,,2832,1539,1293,83,1247,1456,46
2020-03-07,10,6,,1931,1018,913,74,867,944,46
2020-03-08,10,7,,1428,783,645,77,619,706,26
2020-03-09,11,1,,2336,1212,1124,59,1083,1153,41
2020-03-10,11,2,,2921,1590,1331,83,1283,1507,48
2020-03-11,11,3,,3491,1857,1634,100,1578,1757,56
2020-03-12,11,4,,3640,1921,1719,99,1660,1822,59
2020-03-13,11,5,,3391,1762,1629,115,1551,1647,78
2020-03-14,11,6,,2199,1204,995,102,947,1102,48
2020-03-15,11,7,,1298,726,572,72,532,654,40
2020-03-16,12,1,,2097,1129,968,75,896,1054,72
2020-03-17,12,2,,1023,556,467,48,438,508,29
